,댓글 작성자,댓글,좋아요 개수,하트 유/무
164,정은혜,먹는걸로 장난치면 안돼는 한국인들이 볼 때 진짜 고구마 100개 먹은 듯,0,없음
165,함우태,3:16 무서워서 그냥 지나감 ㅋㅋㅋㅋㅋㅋㅋ,0,없음
166,양이루,병원에서 혈압재는데 고혈압이 나오넼ㅋㅋㅋ 나원래 약간 저혈압인데,1,없음
167,하이,ㅋㅋㅋㅋㅋ 처음보는사람에게 욕박고 밀치고 손가락질을 하는데 일본이 예의를 가장 질 지키는 나라라고? ㅋㅋㅋㅋㅋㅋㅋ 일본인들은 역사공부 할 지능도 없는거임?,424,없음
168,ᄒᄒᄒ,저렇게 지네 땅도 아닌걸 맞다고 확실하게 우길수 있는선 다 저기 교육 때문이고 우리나라는 더 확실한 논리로 우리땅인 이유를 교육 받고 독도이 더 관심을 기울여야 이길수 있을거같네요,23,없음
169,*가을바람,쓰나미가 그리워 지는 영상이네요,2,없음
170,어그로아님,다리부터 머리끝까지 화가 치밀어 오르는 영상,0,없음
171,이상훈,제일 이상한건 뭐하러 왔냐고 물어봐놓고 뭐하러 왔는지 대답하려하니까 닥치라고 하고 다시 뭐하러 왔냐고 물어보는 거네요.,0,없음
172,이상현,A:여기 뭐하러 왔어? B:저희... A:X쳐 여기 뭐하러 왔냐고 ㅋㅋㅋㅋ,0,없음
173,비이인,일본:다케시마는 우리꺼야 하지만 어딨는지 몰라  중국:김치는 우리꺼야 하지만 김치냉장고는 없어,334,없음
174,치에이크,ㅋㅋㅋ구라아저씨가 키랑 덩치가 커서 난리 더 안친듯,16,없음
175,송정호,역시  올바른  역사교육이  중요함을  보여주는군.,12,없음
176,Ch-보컬,독도가 자기네 땅하고 가깝다고 우기는건 진짜 황당..,13,없음
177,마트에서파니팡,사람들 댓글에서 계속 마동석 찾는 거 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5,없음
178,파너,4:02아 겁나웃기넼ㅋㅋ,1,없음
179,ᄒ나야,근데 암만 봐도 너무 무례한데 ㅋㄱㅋㄱㅋㄱㅋ ? 일본땅에 갔다고 무슨 일본말을 써야해 여행을 간거라 쳐도 엄연히 그 나라의 사람인데 무슨 언어를 쓰든 보장받을 권리가 있는데 ㅋㄱㅋㄱㅋㄱㅋㄱㅋ 외국인들한테 말해봐라 어처구니 없어할껄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무례해도 너무 무례하다 ㅋㅋㅋㅋ,341,없음
180,정미영,근데 저렇게까지 열심히 들러붙는게  웃기네ㅋㅋㅋㅋㅋ 진짜 정성이닼ㅋㅋㅋㅋ,3,없음
181,O_O,아니 ㅋㅋㅋㅋ 이거 진짜 애들이 남 장난감 훔쳐서 지꺼라고 하는거랑 똑같은데 ㅋㅋ 찔리면 친구들 부르고 ㅋㅅㅋㅅㅋ한심,298,없음
182,Heya,3:50 피지컬 후덜덜,4,없음
183,김희준,영감들 발작 오지네 진짴ㅋㅋㅋ,2,없음
184,개독TV,아니 독도에서 어떻게 쌀농사를 함 ㅋㅋㅋㅋㅋ,0,없음
185,IamBlackOx,"THE MAINICHI SHIMBUN October 23, 2019  ""Japan's Princess Kako meets with Hungarian president""  BUDAPEST (Kyodo) -- Japan's Princess Kako, niece of Emperor Naruhito, paid a courtesy call on Hungarian President Janos Ader on Friday to mark the 150th anniversary of diplomatic ties between the two countries.",1,없음
186,둠상필,13:53초에 뭐하로 왔어라고 물어놓고 대답하니깐 닥치라고하네 ㅋㅋㅋㅋ,0,없음
187,DANA,한국: 너네들은 독도갈때 여권가지고 가야하지? 일본: ㅇㅇ 한국: 우리는 여권없어도 갈수있음 일본:ㅂㄷㅂㄷ(다맞는 말이여서),1.4천,없음
