,댓글
28,사람에게 법과 윤리가 꼭 필요하단걸 알려준 사람... 영어를 기가 막히게 잘했다고 알려지고 이 영상만으로도 소름끼치게 판단력이 좋은 머리 좋은 사람인건 알겠으나 나라를 팔아먹고 국민들을 힘들게 한 것에 대해서는 무감각했던 것은 아닌지
29,"내일,약 5시간 후 3.1 운동(1919.3.1) 100주년 입니다. 숫자가 외우기 어려운 숫자도 아니고 지금의 우리를 '한국'에서 살게 해주신 독립운동가 여러분들을 잊지맙시다."
30,반환소송승소판결이 났다는 게 부끄럽다 법을 집행하는 인간들의 역사의식이 어떠한지 알 수 있는 대목이다
31,이완용은 ㄹㅇ 그냥 뒤틀린 천재지... 한 짓은 한국인으로서 절대 옳다고 말 못하지만 그래도 시대의 흐름을 읽는 눈은 진짜 천재라고 불릴만 한듯
32,댓글만 봐도 우리나라가 왜 이꼴인지 알 수 있음
33,이런식으로 친일파는 잘살고 독립운동가분들은 대우도 못받고 국가가 무시를 하게되면 같은 상황이 일어났을때 사람들이 어떤식으로 행동할지는 안봐도 비디오다 반성해라 대한민국
34,어쩌면 나라에 헌신하는 좋은 신하가 될수도있었는데 나라가 힘이 없어서 일본에 붙은것이 화가나면서도 조금 씁쓸하다 결론:고종은 피해자가 아니라 무책임하고 무능한 왕이다
35,이래서 사람의 재능이 아무리 뛰어나도 인성이 안돼있다면 사회 지도층으로 뽑아서는 안되나 봅니다
36,반역자 매국노의 공통점은 가족에게는 잘한다는 것이다.  애국자들의 공통점은 가족에게는 잘 못한다는 것이다.
37,"개인적으로 최선을 다하였으나 국가와 민족에게는 최악의 선물을 증정하신 완용님,"
38,"참... 불쌍하다.. 결국 이 사람의 후손들은, 겉으로는 강한척해도 자신의 근본에 대해 떳떳하게 말할 수 없을 것이며, 살면서 뼛속까지 정의롭게 행동하지 못하고, 늘 돈만 보며 살다 괴롭게, 외롭게 죽을것이다. 지금 일본이 그러하듯....!!!!!"
39,부끄럽다는 생각도 안드는건가... 자신이 추한 줄만은 알았으면.
40,좋은 정보 감사합니다. 역적 이완용에대해 모르는 부분까지 다시 알게 되었네요.
41,"가장 안타까운 것은 ,  대표적 친일파였던 '이완용' 도 옛적에는 '독립운동가'  였다는게 가장 안타깝네요"
42,"이사람이 현세대에 태어났으면 분명 재벌이되었을꺼다 시대를보는눈이나 빠른판단,라인타는것까지 정말 이시대에 사회생활과 돈모으는것에 탁월하다"
43,친일과 독립운동의 차이를 보면 어떻게 사는지 배워야 하는 값진교훈이라 봐요.
44,소름돋을 정도로 우리 주변에 만연하지 않은가 저 마인드는
45,무능했던 고종에 대해서도 꼭 좀 다뤄졌으면 좋겠습니다
46,"이완용 같은 사람이 한두명이고 옛날에만 있었겠나.  지금도 주변에 바글바글하고 자본주의 덕분에 옛날보다 더 눈에 뛰지 않는다.  한국이라는 나라가 항상 시끄럽고, 열심히 살아도 언제나 지지리 궁상들이 많은 이유."
47,옛날엔 마냥 욕했는데 나라위해 목숨바친 후손들은 가난에허덕이고 나라팔아먹은 후손들은 떵떵거리며 사는 우리나라현실을보면 애국심이 없어지는건사실
48,여러모로 대단한 사람이네
49,욕먹어도 조상중에 한명이라도 저런사람 있으면 후손들은 잘살겠네
50,민족 대표33인이 이완용에게 우리 단체로 들아오세요라고 말했음 근데 더 웃긴건 이완용도 양심이 있었는지 내가 거길 왜 들어가요?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이럼
51,근데 다 맞는 말이다. 눈앞에 잘 살 기회가 있고 저 사람과 같은 입장이었다면 달리 행동할 수 있는 사람이 오히려 적을 것이다.
52,나라가 제대로 돌아간다면 부관참시감이지
53,이완용도 처음에 독립운동가였던게 믿기지 않지만 독립운동가에서 친일로 변한사람 많았어요
54,이래서 역사 과목은 선택이 아닌  필수여야 한다.
55,개인적으로 능력잇는 관료였고 세상의 판도를 읽을줄도 알았다. 하지만 변절후 그 능력들을 최대한 개인의 사욕을 위해 활용해 버림...
56,자주독립했으면 저런 친일파부터 다 정리시키고 봤을텐데 결국 우리가 스스로 독립하지 못해서 지금도 당시에 희생했던 독립운동가 후손들은 가난하게 살고 친일파들은 잘먹고 잘배워 엘리트의 삶을 살고.. 너무 억울하다...ㅠㅠ
57,이래서 신념이 중요한겁니다.
58,이완용 당신때문에 모든 독립운동가분들 가슴에 못을 박았다 하지만 우리는 못을 뺄 의지가 있었기에  못을 뺄수 있었다....
59,근데.댓글..욕도 하고 싸우기도 하는뎅.. 뭐 솔직히 무관심 보단 낫다고 생각 듦.. 그래도 우리나라 사람들이 아직 역사에 관심이 있구나. 애국심이 다들 강하구나 라는걸 느끼게 되네.
60,진짜 똑똑한 인간이네
61,에휴..참 불공평하네  누가 뿌린대로 거둔다는 말을 만들었을까 이게 뿌린대로 거둬진 결과냐..
62,진짜 국제정세보는 눈하나는 진짜 인정한다 ㅋㅋㅋ
63,현대시점으로 보고해석하면  한편으로는 졸라 현명한사람일수도있다.
64,근데 지금 미국이 대세가 되었으니 이완용의 말은 틀린건 아니네
65,연좌제가 잘못되었다고는 하지만 그 선조의 악행으로 잘 벌어먹었으면 그 후손들이라도 어느정도 책임을 지는게 맞다고봅니다
66,지옥에서 이 세상 모든 고통을합쳐놓은 것보다  더 아프고 쓰린 고통을 받아라
67,돈이라면 뭐든지 하는사람들이 많을텐데 지금 이시대에 전쟁이나면 어떻게 될까
68,자신이 어떻게 행동해야 성공할지 잘알고 미래를 보는 안목도 뛰어난 사람. 현실적으로 자신이 살기 위해서 일본을 택했지만 나라를 팔아먹었으니 비판과 비난은 감수해야됨. 지금 태어났으면 성공한 기업가가 됐을듯.
69,무엇을 위해 나라를 지키는가? 나라를 지키기 위해 우리나라의 미래를 위해 희생을 각오하고 희생을 아끼지 않았던 과거가 점점 잊혀지고 박해한 대우를 받고 욕하는데 과연 앞으로 누가 이 나라를 위해 싸워줄까.. 감사합니다 나라를 지켜주셨던 모든 우리의 영웅들이여...
70,경쟁교육시켜서 타인의 아픔에 공감을 못하여 갑질하는 사회를 보면 그 시절 이완용이 차라리 현명했다는 생각이 든다.
71,"고맙습니다. 어젯게 삭제되어 있어서, 좀 의아 했었는데 이렇게 다시 수정하여 업로드 해주셔서 감사드립니다."
72,정말 역사만 없고  지울수만 있다면 좋겠네요  나라에 충신들 부끄러워  어떻게 그 많은 재산을 되돌려 달 라고 했을까요  되돌려준 법도   참
73,이완용 저택이라고 나온거 진짜 이완용 저택이 아니고 위치도 비슷하고 어떤분이 개인적으로 지었는데 올드풍이고 비슷하게 생겨서 다 오해한다고 합니다
74,"그래도 이완용의 능력만큼은 정말 대단한거 같다...자기의 사리사욕을 채우더라도 그 스케일이 나라를 팔아먹을 정도였고,아들에게는 친미파가 되라고 했다니...보는 눈까지 정확하네..."
75,여기서 알수 있는건 매국도 생존의 한 방식이였고 투쟁도 생존에 방식이였다  그렇기 때문에 대한독립 만세!!  또한 독립투사 분들 감사합니다!
76,"죽을때 되면, 본인이 잘못한 짓들을 후회하고 용서를 구하는것이 상식적인 사람의 행동일텐데..  이완용은 죽어서도 지옥에서 헤메고 있겟네요."
77,저런 사람들이 세상 편하게 살아가지 좋죠
78,친일파는 인간이 아니지 지금도 숨쉬고 있는 친일파후손들이 영원히 박멸하고 독립투사후손들은 더더더 잘살기를 바란다 ..
79,"너무나도 철저한 이기주의, 이득주의자여서 문득 이런 생각이 들었다. '만약 우리나라가 부강했다면 그는 우리에게 어떤 존재였을까?'"
80,우리선조들이 목숨 받혀 지킨 우리나라 자랑스럽게 생각하자 대한독립 만세!!!!!!
81,달리 생각해보면 겨우 이런 사람에게서 농락당했던게 나라의 현실이었어... 두 번 다신 일어나선 안될일. 위태롭고 병들었을때 이런 사람들은 얼마든지 또 등장한다.
82,원래 남의 눈에 피눈물나게 하는 사람은 아이러니하게도 가족애가 남다릅니다.
83,내 손톱이 빠져나가고 내 귀와 코가 잘리고 내 손과 다리가 부러져도 그 고통은 이길 수 있사오나
84,온전히 자신만의 이익을 위해 살아간 사람이네요. 공동체보다는 자신과 자신의 혈족이 먼저였던 사람인 것이겠지요. 사회의 악입니다.
85,여기서 우리가 명심해야 할것은 일반인은 이완용처럼 행동할 수 있을지라도 권력을잡고 있는  그가 친일을 한 행위부터가 옳지 않다는 것입니다. 상황이 어땠던간에 권력자로써 꽝인 동시에 천하에 나쁜 놈임
86,한번씩보면 친일파도 조금 이해되지않나?.. 나라가 망하면 그 나라에 속하는게 맞는거같기도한데.. 아님말고 별뜻없음.. 그냥 고려가 원에 지배당한거.. 등등해서 여러가지보면 그런거같을뿐..
87,앞으로 다시 독립운동이나 전쟁이 나서 또 나라에 위기가 닥쳤을시 나서는 시민이 있을성싶으냐 바라지만마시게 시민도 보고듣고 판단할수있는사람이다 내나라라고해서 무조건 희생할 세대가 이젠 아니다
88,고종도 참 아쉬운게.. 어릴때는 아버지가 정치하고 자신이 정치해보려 하니 부인이 정치해먹고.. 고종이 어릴때부터 제대로 정치를 배웠다면 조금은 더 나은 대한제국이었지 않았을까 싶네요..
89,진짜 국제정세를 보는눈과 처세술하나는 기가막혔던 양반..ㄷㄷ
90,이완용 쓸때없이 똑똑하네
91,아직 이나라를 지킨 후손은 길거리에 있고 높은 저택에는 아부한 그들이 있다 우리는 후손을 무식하다 무시하고 그들에게 잘나서 고개를 숙인다
92,대세에 따라 권력에 빌붙어 충성하는 사람이었네.
93,친일파 후손에 남긴건 재산만이아니라 영원한 부끄러움이다!!!!
94,달리보면 시대의 흐름을 읽는 눈이 뛰어났다고 할 수 있음. 그 시대의 흐름에 올라 타는 수단으로 최고로 악질적인 수를 골랐을 뿐...
95,정말 화가나는 영상이네요!!!!!!!! 잊지 말아야 할 역사이기도 하고요!!!!!!!
96,일본을 욕할게 아니라 부끄러운역사을 욕해야한다 부끄러운 민속성 부끄러운 한반도  이게 대한민국 현실이다 그게 역사부터 지금까지 온거다 나쁜짓계속해야 더잘사고 더행복한게 살수있는나라 그게 현재우리가 살고있는 대한민국이다
97,엠빅뉴스 제작에 심혈을 기울여주시기 바랍니다. 잘못된 영상하나가 큰 일 낼 수 있습니다. 팩첵에 더 분발해 주십시요ㅜㅜ
98,똑똑한데 시대를 잘못 태어나 역적이된건 분명함 안타깝다
99,지금도 수많은 이완용이 살고있다.
100,"제가 썸넬보고 (마음이)몬섕귄매국의 유언이 어떤가.. 색각해봤는데  이럴것같았어여""나는 나쁜놈이다 우리나라를 배신한 개놈이지 난죽어도되 한국이든 나발이든 상관없어 나는 내맘대로 살거야 너도 한국을 배신하고 혼나거라..."" 라고써인는줄알았어욬ㅋㅋㅋ"
101,진짜 해방이후 프랑스처럼 싹다 죽였어야 했는데
102,그래도 국제안목은 생각보다 정확하네.
103,물론 나라를 일본에게 넘어가게  해준것은 역사에 좋치못한일일지라도  그의 당시 시대를 비춰봤을땐 나라도  충분히 그렇게할것이다 내가 볼땐 현
104,증손자에게  승소판결한  매국노판사가  더큰역적아닌가.....매국노판사는 지금  뭘하나...매국노후손판사라  그런가..
105,친일파가 나쁜게 아니라 독림운동가 분들이 더 대단하신듯
106,저 소송이 어떻게 승소하냐 정말 말도안된다
107,아니 댓글상태 왜이럼;; 킹완용  현명한사람 근대화의 아버지 이지랄 떨고들있네 독립열사분들이 하늘에서 통곡하신다 미친놈들아 하늘올려다보기 부끄럽지도 않냐 ㄹㅇ;;
108,더 충격적인건 이완용이 아관파천 1등공신이였다는것...
109,교육부들아 이런 교육을 제대로 시켜야 하는거 아니냐 ??
110,왜 자손들이 잘먹고 잘산다고 생각하는거지? 분명 매국노는 욕해야하지만 후손이 왜 피해보는지....
111,가족에게 잘했고 효자였지만 끝이 좋지못하다
112,고종 민비가 욕먹어야지  이완용 잘못만있을까? 역사를 제대로 볼수있는 눈을 가진 국민이 됩시다.
113,이게 대한민국 갑질의 시발점이 된것일지도 모르겠네요
114,조국에서 중책을 맡은 공직자며 시대의 흐름을 잘 보는 시각을 가진 사람이 조국을 올바르게 인도하지 않고 사익을 추구하고 조국을 배반하고 그 역겨운 피를 가진 후손들도 죄를 반성하지 않고 사익을 추구하는데 이를 현 정부가 바로잡지 못한다는 게 안타깝다.
115,다른건 몰라도 시대의 흐름을 보는 능력하나는 있었나보네
116,저런 세끼들 후손은 잘먹고 산다는게 정말 화가 난다 진짜
117,"한국이라는 나라는 정의의 반대편에 서는게 잘 사는 방법이라는 것을 과거가 말해주고, 현재도 그렇다."
118,친미하라는 건.. 맞는 말을 하긴 했네... 똑똑한 사람은 맞다...
119,끝까지 찾아가 후손까지 괴롭혀야한다. 안그러면 국운이 다할때 누가 나라를 위해 투쟁하겠나
120,2:25 이것만봐도 이완용은 미래를 알고 있었다는거. 누구줄을 서야할지 안다는거죠. 똑똑한 정치인이였다는 겁니다.
121,이완용의 범죄행위를 기억하라.
122,자신은 처세술에(?) 능하다고 생각할지 모르겠지만 너무나도 본인이 편한길로만 가려고 한게 큰 문제였습니다어쨌든 전형적인 사꾸라의 모습을 유감없이 보여줬고 27년 전 그의 후손이 유산을 찾겠다고 했을때는 정말 피가 거꾸로 솟는 느낌이 들었고 순국선열들 앞에서 너무나도 부끄러운 생각에 서글픈 마음이었습니다친일을 하면 3대가 흥하고 독립운동을 하면 3대가 망한다고 하는 현실이 정말 안타깝습니다
123,마냥 욕할수가 없는게 망해가는 나라에 안주하지 않고 시대의 흐름을 잘 파악하고 뛰어난 처세술로 살았다고 밖에 할수가 없다. 그의 후손들도 재산을 모두 현금화 해서 해외로 나가서 잘먹고 잘사는데 이게 조상덕이 아니면 무엇이란 말인가.
124,그 자손 만대까지 이땅에서 고통받게 해야한다! 그것이 역사의 반성이다!
125,부모에겐 효자 나라에겐 불효자
126,권력이 집중되면 썩는 법 재벌 권력이 지배하는 대한민국 개선하지 않는다면 역사는 반복되고 피눈물 흘리는 건 서민들일 것이다
127,저런 사람들만 있었다면 지금의 대한민국은 없었을 것입니다.
128,개인적인 생각으로 욕먹을거 뻔히 알지만  이완용은 그냥 정말 똑똑한 사람이였던거같음 매우 현실적였고 한국이 살아남을수있는 방법이   일본에 먹히는게 현실적이라고 생각했을듯 ...  대한제국시절 당시일본은 정말 세계에서도 손꼽히는 군사강국이였으니  반면에 대한제국은  유래를 찾을수없을정도로 무능과 미개함의 끝판왕이였으니....
129,이래서 줄을 잘서야되..
130,"나는 솔직히 말해서 독립운동가들에 독립에 그렇게 큰 기여를 했는지 의심스럽다. 요즘 독립운동가들은 그들의 후손들이 본 피해때문에 매우 신성시되는 감이 없지않아 있는데 그들도 자신의 신념에 따라 국가와 가족 중 국가를 선택했을 뿐이다. 물론 국가차원에서 본다면 국가유공자이겠지만 국민 개개인의 차원에서 본다면 그렇게까지 신격화될 이유는 없어보인다. 더구나 실제로 그들은 독립을 쟁취하지 못했다. 독립은 미국에 의해 반강제적으로 이루어졌으며 그들의 노력이 그것에 얼마나 큰 기여를 했는지 필자는 잘 모르겠다. 그리고 그것을 측정할 방법이 있을지도 모르겠다. 일례로 프랑스의 잔다르크는(물론 왜곡이 심하고 여러가지 신격화가 있었다지만 알려진바에 따르면) 실제로 군대를 이끌고 프랑스를 구했다. 이것은 정말 물리적으로 ""구국""행위를 했고 그것이 사실이라면 이것은 의심할 여지가 없는 국가적 위인인 것이다. 하지만 그와 비견되는 유관순 열사는 어떠한가. 물론3.1운동이 나름의 의미는 가지지만 결국 그후26년이 흐른 뒤에야 조선은 독립했다. 3.1운동또한 독립의 밑거름이었다고 주장한다면 할말은 없지만 그것이 큰 기여를 했다면 빠른 시일내에 독립이 되었을것이다. 마치 간디처럼 말이다. 하지만 그런일은 일어나지 않았다. 나는 한국사람들이 이순신, 잔다르크같은 사람들을 존경하는것은 이해할 수 있다. 그들은 자신의 신념에 따라 살았고 그 신념에 걸맞는 업적을 성취했다. 그들의 가족을 저버린 대신 실제로 나라를 구했다는 것이다. 하지만 독립운동가들은 실제로 나라를 구하지 못했다.  그들이 자신의 신념을 지키다 죽은것이 안타깝고 비극적이지만 그것이 그들을 영웅시할 이유가 되는지는 모르겠다. 영웅은 적어도 물리적인 업적이 존재해야 한다고 생각한다. 그리고 우리가 독립운동가라고 일컫는 이들 중 그럴만한 충분한 업적을 성취한 이들이 누가 있을지 개인적으로 의심스럽다. 이런 글을 쓰면 매국노에 친일파로 매도당할것을 알지만, 나는 독립운동가들도 충분히 비판적인 시각으로 생각해볼 필요가 있다고 생각하기에 이런 글을 쓴다."
131,역사는 이긴자들의역사만 기억됩니다
132,"근데 우리가 또 이완용을 욕할수 없는게 이완용도 독립운동가였다고 하네요 근데 친일을 했죠.. 그때의 우리나라는 희망이 없었을꺼 같으니 그랬겠죠... 솔직히 생각해보세요 우리가 일제시대때 있었으면 친일 했지 않을까요? 가족을 위해서라도,먹고살려면 그런선택을 해야되지 안았을까요?"
133,한명을 죽이면 살인자  십만명을 죽이면 영웅인데 저놈은 천원을 훔친게아니라 천억을 꿀꺽했는데 거의 영웅이네ㅋㅋ
134,눈치빠른 사람이 되자 자신이 아무리 청렴하고 착하다해도 가만히 있으면 당한다
135,친러하다 친일하다 친미하는 거 보니 이 사람에게 있어 국가는  그저  자신과  자신의 가문의 영달과 안위에 필요한 도구일 뿐이네요..
136,우리나라가 힘이 있었다면  저런 인간도 출세를 위해 노력해서  나라도 저런 인간도 능력을 발휘해  윈윈하면서 위인이 될 수도 있었을껀데
137,가족에겐 영웅이자 민족에겐 역적 이완용
138,망해가는 나라 손절 치는 것도 능력은 능력이지  좋은 능력인지는 모르겠다만
139,역사 의식 말로만 하지말고 독립운동가 후손 군인들 대우 좀 해줘라 그래야 애국의 진짜 의미를 이해하지 않겠냐? 3.1절에 태극기도 중요하겠지만 상징적인 대우말고 실질적인 대우 좀 해줘라
140,"교훈을 얻으려면 제대로 알아야 합니다. 그냥 친일파다가 아니고, 언제 무엇을 어떻게 잘못했는지 알아야 교훈을 얻습니다. 감정을 자제하지 않고서 어떻게 교훈을 얻나요. 한 분 한분 국민의 의식개선이 필요합니다. 공부하고 실천합시다. 아니면 모두 이완용입니다."
141,초심을 잃으면 나라까지 다팔아 먹는다...
142,비판과 비난받아야 할 인물이지만 어쨌든 미국이 득세할것을 예상한것을 보면 시대의 흐름을 읽는 눈은 탁월한듯
143,나라에겐 역적이였을지 몰라도 가족에겐 영웅이었습니다
144,근데 진짜 궁금한건데 당시에 장관급이었던 이완용이 한 나라를 팔 만한 권한이 있었을까요? 왜 그 자리에 고종이 안가고 이완용이 간거죠?
145,너무 똑똑한 이득충 ㅋㅋㅋㅋㅋㅋ
146,그가 옳았다..
147,느낀생각 애국은 내 이익에 연연하지않는다 매국 이익에 따라움직인다
148,빼았기면 되찾을수있어도 내어주면 되찾지못한다 이말이 ㄹㅇ 맞는말인듯
149,"이완용은 내가 존경하는 사람이다. 왜냐하면, 어차피 저 당시에 이완용이 저리 하지 않았어도 다른 누군가가 그 자리에 앉아 친일을 했을 것이기 때문이다. 내가 피해를 볼 바엔 피해를 주는 쪽이 되는 것이 낫다. 국가란 추상적인 개념에 불과한 허상이다. 반면 나와 내 가족, 내 후손의 행복은 실존한다. 국가라는 허상을 팔아서 내가 득을 볼 수 있다면 그리하는 게 낫다. 우월하기 때문에 저런 현명한 판단을 할 수 있었던 것이고, 그 자손들도 우월하게 살 수 있는 것이다."
150,그런데 맞는 말인거 같아.....이완용 미래를 내다볼줄 알았네
151,"당신은 친일파가 아닌 민족반역자입니다. 양심이 있는 사람이라면 그 누구도 남의 집안과 친해지려고 나의 정체성까지 헌신짝처럼 버리진 않습니다. 한민족의 피를 이어받은 대한민국 국민으로서 우린 어떤 나라와도 친하게 지내야겠다는 생각을 할 수 있어요. 그러나 기본은 ""우린 한민족의 피를 이어받은 대한민국  국민이다""에서 출발합니다."
152,우리 의병들과 많은 국민들 그리고 애국계몽가들 까지 모두 목숨을 바쳐 나라를 구하려고 하셨고 대한독립을 했습니다 그렇게 어렵게 구란 우리 대한민국 을 정부가 지금 망하게 하고있네요 제발 정신차려요 ㅠㅠㅠㅠㅠㅠㅠ
153,손자는 대한민국 정부 상대로 할아버지 재산 돌려달라고 고소 했고 승소 했습니다 2심에서는 패소
154,나의 길이 너의 길이 아니듯이 나라의 길도 나의 길이아니다.
155,땅 승소시킨 판사이름을 세상에 널리 알려야한다
156,과거나 지금이나 외세에 의존적인 태도를 보이는 우리나라...... 바뀔 수 있을까...
157,이래서 외국어 잘해야 하는구나
158,문제는 여기에 댓글 다는거처럼 말로만하고 실천 안하는 사람들이 있기에 어떤상황에 닥치고 본인의 통찰력으로 행동한 이완용  누가 이완용을 욕하는가 바로 여기 댓글처럼 본인의 희생하기 싫어  말로만 했기에 욕만는 당신들은 분노 할 자격도 없다
159,조상이 나라를 팔아먹으면 3대가 떵떵 거리며 살수 있고 독립운동 하면 3대가 죽는구나.
160,제가 봤을때 이완용을 흐름을 잘타는 인물갔군요.
161,그렇다. 그는 일본 사람이였다.
162,"진짜 소름돋게 똑똑하다, 살아남을 줄 아는 사람이다"
163,이완용은 독립협회의 회원이었을 정도로 애국심이 있었는데... 어쩌다 저렇게 타락해버리냐...
164,친일파 욕하기는 쉬워도. 당시 저 상황 저 위치에서 친일파 안되기는 어려울걸. 요즘 정치보면 이 생각이 확신이 드네
165,똑똑한 사람이 자신의 이익을 위해서만 움직이면 보여지는 모습...
166,"진짜 나라를 팔아서 자기 이득을 챙긴 나쁜놈이지만, 현실로 따지면 후손 대대로 잘살고있음... 결국 시대에 흐름에 맞춰 자기 가족 부양시킴.. 똑똑한건 인정은 해야함... 이런 총명함으로 우리 현실에서도 살아남아 내사람 내 가족 부양시켜야 하는데...하... 그래도 나라를 팔아서.. 막말 한것도 좀 심하다...그라믄 안대지..."
167,"나라를 이꼴로 만든 이씨 일가가 조선을 망친것이 더 열받는다. 병자호란, 임진왜란 그 외의 수많은 외세 침략에 무방비한 나라꼴이 우습고, 열받는다..."
168,심지가 곧지못한사람도 예의도바르고 가족에게도 얼마든지 달할수있다. 그러나 심자가 곧자못한사람은 부모를 팔아먹을수도있다.
169,이 땅이 아무리 좋아도 순간이지만 지옥은 영원하다. 지옥에 영원히 있는 것보다 이 땅에서   주님 위해서 고통 받는 것이 천백번 좋을 것이다.
170,재 평가 되어야 할 사람중 한명
171,궤변과 합리화로 자신의 행동을 정당화하며 사리사욕에만 눈이 먼 이쪽저쪽 어디든 권세에 편승하는 전형적인 기회주의자
172,뭐..그때당시라고 생각하면 이완용은 좋은길을 선택한거지... 망해가는 나라를  버리는 대신 좋은 삶이 보장되어있는 적국으로 가는 거잖아요... 그때 당시에는 고위 공무원급으로 좋은길이 었을테지만 이완용 당신은 옳지 않았습니다. 당신이 그때 잘 살려고 했던것들이 몇백년이 지나도 당신의 후손들에게 독이되어 돌아갈것입니다.
173,리완용은 용서가 안된다.. 그 자손들도..연좌죄가 없어졌다지만... 이런 자들이 멀쩡하게 나돌아 다니면 누가 나라를 팔아 먹는데에 앞장서지 않겠는가!!!!!!
174,"역적과 매국노 그리고 국가 반역자에 대한 법적 처벌기한은 실정법의 소멸시효가 적용되지만, 역사적인 처벌은 본인이나 그자녀와 후대까지 소멸시효 없이 처벌받는 것이 역사의 무서움이다.  그래서 사람들은 국가와 역사 앞에서 겸손해지고 진솔해지는 것이다."
175,조상님들 감사합니다
176,참...... 이래서 이완용 이완용 하는구나 허허 목숨바쳐 나라지킨 분들께 다시 한번 감사드립니다
177,근데 어찌보면 이완용이 시대국제정세 흐름을 너무 잘 아는거지 지금은 우리나라가 친미를 해야 살아남는다
178,분노할게 있냐 근본부터 쓰레기인 헬조선에서...우리가 어떻게 살아야할지 길을 제시해준 선구자이시다
